tau,coverage,selective_error,n_covered
0.0,1.0,0.13,1200
0.02,0.9867,0.1225,1184
0.04,0.9767,0.1177,1172
0.06,0.9633,0.1142,1156
0.08,0.9575,0.1105,1149
0.1,0.9458,0.1066,1135
0.12,0.9383,0.1039,1126
0.14,0.925,0.1009,1110
0.16,0.91,0.0962,1092
0.18,0.8967,0.0929,1076
0.2,0.8783,0.0901,1054
0.22,0.8625,0.085,1035
0.24,0.845,0.0799,1014
0.26,0.8242,0.0738,989
0.28,0.8117,0.0688,974
0.3,0.79,0.0633,948
0.32,0.7717,0.0594,926
0.34,0.7442,0.0549,893
0.36,0.7092,0.047,851
0.38,0.6775,0.0381,813
0.4,0.6383,0.0339,766
0.42,0.5742,0.0276,689
0.44,0.4692,0.016,563
0.46,0.2567,0.0097,308
0.48,0.0008,0.0,1
0.5,0.0,,0
