dataset,manipulation_type,source_path,issue,detail
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/575_603.mp4,ok,frame_count=296
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/225_151.mp4,ok,frame_count=304
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/515_519.mp4,ok,frame_count=751
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/066_062.mp4,ok,frame_count=423
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/404_429.mp4,ok,frame_count=457
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/984_967.mp4,ok,frame_count=339
FF++,NeuralTextures,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/NeuralTextures/c23/videos/874_291.mp4,ok,frame_count=330
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/484_415.mp4,ok,frame_count=563
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/439_441.mp4,ok,frame_count=462
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/741.mp4,ok,frame_count=370
FF++,Deepfakes,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Deepfakes/c23/videos/258_246.mp4,ok,frame_count=498
FF++,Face2Face,/content/drive/MyDrive/TrueScan/datasets/ffpp/manipulated_sequences/Face2Face/c23/videos/943_942.mp4,ok,frame_count=495
FF++,real,/content/drive/MyDrive/TrueScan/datasets/ffpp/original_sequences/youtube/c23/videos/871.mp4,ok,frame_count=348
